property_type,society,sector,price,price_per_sqrft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,price_per_sqft,coordinates,latitude,longitude
flat,ireo victory valley,sector 67,3.05,12650.0,3,3,3,21.0,Relatively New,2029.0,0,1,0,0,0,2,157,12650.0,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,vipul lavanya,sector 81,1.0,8000.0,2,2,2,7.0,Relatively New,1131.0,0,0,0,0,0,1,31,8000.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,signature global city 37d ph 2,sector 37,1.1,8148.0,3,3,1,2.0,Relatively New,1500.0,0,0,0,1,0,1,30,8148.0,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,experion windchants,sector 112,3.75,13383.0,3,5,3,22.0,Relatively New,2536.0,0,1,0,0,0,2,49,13383.0,"28.5189° N, 77.0183° E",28.5189,77.0183
flat,pareena coban residences,sector 99,1.6,8000.0,3,3,3,6.0,Under Construction,1810.0,0,0,0,0,0,1,0,8000.0,"28.4640° N, 76.9614° E",28.464,76.9614
flat,experion the heartsong,sector 108,1.2,6825.0,3,2,3,11.0,Relatively New,1550.0,0,1,0,1,0,2,174,6826.0,"28.5134° N, 76.9830° E",28.5134,76.983
flat,orris carnation residency,sector 85,0.55,5788.0,2,2,2,5.0,Relatively New,1050.0,0,0,0,0,1,1,174,5789.0,"28.4042° N, 76.9513° E",28.4042,76.9513
house,aindependentt raj estates,sector 63,8.5,27139.0,6,6,3,3.0,Under Construction,3132.0,0,0,1,1,0,1,29,27139.0,"28.3971° N, 77.0867° E",28.3971,77.0867
house,suncity avenue,sector 76,75.0,10067.0,2,2,2,11.0,New Property,74501.0,0,0,0,0,0,1,40,10067.0,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,ats tourmaline,sector 109,2.1,8123.0,3,4,3,11.0,Relatively New,2100.0,0,1,0,0,0,2,165,8124.0,"28.5073° N, 77.0089° E",28.5073,77.0089
house,unitech south city ★,sector 50,5.88,27222.0,3,9,3,3.0,Relatively New,2160.0,1,1,0,1,1,0,128,27222.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,dlf express greens,sector 1,1.5,6358.0,4,5,3,10.0,New Property,2135.0,0,1,0,0,0,1,32,6359.0,"28.3663° N, 76.9456° E",28.3663,76.9456
flat,m3m woodshire,sector 107,1.3,10815.0,3,3,3,7.0,Relatively New,1547.0,0,0,0,1,0,1,89,10815.0,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,the close north,sector 50,2.97,11401.0,3,3,3,8.0,Moderately Old,2600.0,0,1,0,0,0,2,174,11401.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,vatika lifestyle homes,sector 83,1.04,5699.0,3,2,2,2.0,Moderately Old,1500.0,0,0,0,0,0,1,95,5699.0,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,godrej aria,sector 79,1.7,7426.0,3,4,3,6.0,New Property,1659.0,0,1,0,0,0,1,81,7427.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,piedmont taksila heights,sector 37,0.9,5855.0,3,3,3,9.0,Moderately Old,1537.0,0,0,0,0,0,2,94,5856.0,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,shree vardhman flora,sector 90,0.7,5177.0,2,3,2,7.0,Relatively New,1502.0,1,0,0,0,0,2,49,5178.0,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,apex our homes,sector 37,0.38,4108.0,2,2,1,9.0,Relatively New,925.0,0,0,0,0,0,1,65,4108.0,"28.4375° N, 76.9999° E",28.4375,76.9999
house,independent,sector 38,2.1,23333.0,2,7,3,3.0,Relatively New,1563.0,1,0,1,1,0,1,27,23333.0,"28.4347° N, 77.0430° E",28.4347,77.043
flat,signature global synera,sector 81,0.5,7886.0,2,2,1,11.0,New Property,704.0,0,0,0,0,0,0,97,7886.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,shree vardhman flora,sector 90,0.65,4961.0,2,2,3,11.0,Relatively New,1225.0,1,0,0,0,0,2,49,4962.0,"28.4085° N, 76.9369° E",28.4085,76.9369
house,independent,sector 7,45.0,5000.0,3,2,0,1.0,Old Property,90000.0,0,0,0,0,0,1,0,5000.0,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,antriksh heights,sector 84,0.69,5111.0,2,2,3,8.0,Relatively New,1222.0,1,0,0,0,0,1,59,5111.0,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,sare petioles,sector 92,1.22,5250.0,4,3,3,9.0,Under Construction,2093.0,0,1,0,0,0,1,99,5250.0,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,emaar palm premier,sector 77,2.1,10500.0,3,4,3,11.0,New Property,1600.0,0,1,0,0,0,2,129,10500.0,"28.3801° N, 76.9845° E",28.3801,76.9845
flat,adani m2k oyster grande,sector 102,1.95,7561.0,3,4,3,9.0,Relatively New,2334.0,1,1,0,0,0,2,83,7561.0,"28.4750° N, 76.9715° E",28.475,76.9715
house,ansal sushant lok plots★,sector 43,7.0,25926.0,5,5,3,3.0,Relatively New,2700.0,1,1,0,1,0,2,41,25926.0,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,m3m golfestate,sector 65,7.0,18181.0,3,3,2,12.0,Moderately Old,4278.0,0,0,1,0,0,1,60,18182.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,orris aster court,sector 85,0.69,5221.0,2,2,2,5.0,Relatively New,1075.0,0,0,0,0,0,1,37,5219.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,vatika inxt floors,sector 82,0.75,7500.0,2,2,2,1.0,Relatively New,1000.0,0,0,0,0,0,1,0,7500.0,"28.3935° N, 76.9600° E",28.3935,76.96
house,vipul tatvam villa,sector 48,7.8,23148.0,4,4,3,2.0,Relatively New,3370.0,1,1,1,1,0,2,145,23145.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,apna enclave,sector 3,0.58,6105.0,2,2,2,2.0,Old Property,900.0,0,0,0,0,0,1,66,6105.0,"28.4909° N, 77.0176° E",28.4909,77.0176
house,satya the legend★,sector 57,9.25,16577.0,5,5,3,4.0,Relatively New,5580.0,1,1,1,1,0,2,160,16577.0,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,emaar the palm drive,sector 66,3.9,18636.0,3,4,3,2.0,Relatively New,2200.0,0,0,0,0,0,1,0,18634.0,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,antriksh heights,sector 84,0.54,4458.0,2,2,3,17.0,Relatively New,1086.0,0,0,0,0,0,1,81,4459.0,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,bestech park view residency,sector 2,0.98,6932.0,2,2,3,11.0,Moderately Old,1281.0,0,0,0,0,0,1,83,6931.0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,raheja the vedaanta floors,sector 108,0.7,4521.0,2,2,3,1.0,Moderately Old,1720.0,0,0,0,0,0,2,0,4522.0,"28.5134° N, 76.9830° E",28.5134,76.983
flat,spaze privy at,sector 84,1.24,6465.0,3,3,3,8.0,Relatively New,1650.0,1,0,0,0,0,2,158,6465.0,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,ramsons kshitij,sector 95,0.29,5178.0,2,2,2,14.0,Relatively New,507.0,0,0,0,0,0,1,50,5179.0,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,2.0,Under Construction,588.0,0,0,0,0,0,1,54,21538.0,"28.4420° N, 77.0207° E",28.442,77.0207
flat,ompee k s residency,sector 2,1.6,26936.0,2,2,2,1.0,Relatively New,73.0,0,0,0,0,0,1,0,2993.0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,global hill view,sector 11,0.36,5150.0,2,2,0,15.0,Relatively New,699.0,0,0,0,0,0,1,0,5150.0,"28.4531° N, 77.0202° E",28.4531,77.0202
flat,indiabulls enigma,sector 110,3.25,9558.0,4,4,3,11.0,Relatively New,3077.0,0,1,0,0,1,1,125,9559.0,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,mapsko casa bella,sector 82,0.86,8120.0,3,3,3,5.0,Moderately Old,1234.0,1,0,0,0,0,2,120,8121.0,"28.3935° N, 76.9600° E",28.3935,76.96
flat,conscient heritage max,sector 102,2.22,13875.0,3,4,3,15.0,Relatively New,2000.0,1,1,0,0,0,1,82,13875.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,dlf regal gardens,sector 90,1.8,7223.0,4,4,3,7.0,Moderately Old,2005.0,0,0,0,0,0,1,38,7223.0,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,ss the leaf,sector 85,1.14,6433.0,2,2,3,16.0,Relatively New,1604.0,0,0,0,0,0,1,44,6433.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,eldeco accolade,sector 48,0.73,5775.0,2,2,3,5.0,Relatively New,978.0,0,0,0,1,0,1,33,5775.0,"28.4177° N, 77.0359° E",28.4177,77.0359
house,independent,sector 14,4.15,18444.0,5,4,2,2.0,Old Property,2250.0,0,0,0,0,0,2,51,18444.0,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,vatika city,sector 49,1.72,7818.0,3,3,2,2.0,Old Property,2444.0,0,0,0,0,0,2,144,7818.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,laxmi pareena,sector 99,0.3,6666.0,2,1,0,12.0,New Property,500.0,0,0,0,0,0,1,0,6667.0,"28.4640° N, 76.9614° E",28.464,76.9614
flat,hcbs sports ville,sector 48,0.22,4603.0,1,1,1,9.0,Relatively New,477.809521,0,0,0,0,0,2,44,4603.0,"28.4177° N, 77.0359° E",28.4177,77.0359
house,independent,sector 14,4.6,20444.0,1,1,0,1.0,Old Property,2250.0,0,0,0,0,0,1,0,20444.0,"28.4711° N, 77.0454° E",28.4711,77.0454
house,ansal sushant lok,sector 56,3.4,22222.0,6,6,3,2.0,Moderately Old,1530.0,0,0,0,0,0,2,29,22222.0,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,ansal sushant residency,sector 57,1.5,6775.0,3,2,3,1.0,Moderately Old,273.0,0,0,0,0,0,1,87,6775.0,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,paras dews,sector 106,1.34,9550.0,4,5,3,7.0,Relatively New,1535.0,0,1,0,0,0,1,49,9551.0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,pareena laxmi apartments,sector 99,0.32,5786.0,2,2,2,11.0,New Property,502.0,0,0,0,0,0,1,66,5787.0,"28.4640° N, 76.9614° E",28.464,76.9614
house,ansals palam vihar,sector 2,5.7,14729.0,5,5,2,2.0,Old Property,4550.0,0,0,0,1,0,0,94,14729.0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,greenopolis,sector 89,1.3,6806.0,3,3,3,1.0,New Property,2122.0,0,1,0,0,0,1,35,6806.0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,godrej oasis,sector 88,1.3,7258.0,3,3,3,4.0,Relatively New,1990.0,0,0,0,0,0,1,79,7259.0,"28.4220° N, 76.9571° E",28.422,76.9571
flat,park royal apartment,sector 56,1.85,9024.0,3,4,3,7.0,Old Property,2278.0,0,1,0,0,0,1,72,9024.0,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,valley view estate,sector 2,1.5,8278.0,4,4,3,9.0,Old Property,2013.0,1,1,0,0,1,1,135,8278.0,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 39,34.0,7555.0,1,1,1,1.0,Relatively New,45003.0,0,0,0,0,0,1,0,7555.0,"28.4434° N, 77.0515° E",28.4434,77.0515
house,independent,sector 23,2.7,18620.0,5,5,2,3.0,Old Property,1450.0,0,0,0,0,0,2,17,18621.0,"28.5121° N, 77.0478° E",28.5121,77.0478
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13928.0,3,3,3,6.0,New Property,1616.0,0,0,0,1,0,2,174,13929.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,eldeco accolade,sector 48,0.73,5752.0,2,2,3,9.0,Relatively New,1148.0,0,0,0,1,0,1,103,5753.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,conscient heritage max,sector 102,3.0,10489.0,4,4,3,7.0,Relatively New,3178.0,0,0,0,0,1,2,65,10490.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,ireo the corridors,sector 67,2.08,12044.0,3,3,2,6.0,Under Construction,1563.0,0,0,0,0,1,1,55,12044.0,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,pareena laxmi apartments,sector 99,0.32,6106.0,2,2,2,2.0,New Property,473.0,0,0,0,0,0,1,50,6107.0,"28.4640° N, 76.9614° E",28.464,76.9614
flat,mariners home,sector 56,2.11,8612.0,3,2,3,4.0,Relatively New,2250.0,0,0,0,0,1,2,126,8612.0,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,dlf new town heights,sector 86,1.4,5942.0,4,4,3,20.0,Relatively New,2132.0,0,1,0,1,0,1,65,5942.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,ss the leaf,sector 85,1.18,10094.0,2,3,3,12.0,Relatively New,1420.0,0,0,0,1,0,2,150,10094.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,palam vihar extension west zone rwa,sector 2,0.2,4000.0,1,1,1,1.0,Moderately Old,556.0,0,0,0,0,1,1,0,4000.0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,dlf the ultima,sector 81,2.25,10553.0,3,3,3,6.0,New Property,1929.0,0,1,0,0,0,0,168,10553.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,m3m merlin,sector 67,2.9,14167.0,3,3,3,0.0,Relatively New,2047.0,0,0,0,0,1,2,49,14167.0,"28.3859° N, 77.0608° E",28.3859,77.0608
house,independent,sector 7,3.1,13778.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,1,22,13778.0,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,bestech park view residency,sector 2,1.55,8072.0,3,4,3,4.0,Old Property,1738.0,0,1,0,0,0,1,84,8073.0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,central park resorts,sector 48,15.0,22388.0,5,6,3,17.0,Relatively New,7444.0,1,1,0,1,0,0,45,22388.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,aipl club residences,sector 70,1.27,9777.0,2,2,3,24.0,Relatively New,1449.0,0,0,0,0,1,2,113,9777.0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,tata gurgaon gateway,sector 113,2.45,10786.0,3,3,3,8.0,Relatively New,2014.0,0,0,0,0,0,1,110,10788.0,"28.5287° N, 77.0233° E",28.5287,77.0233
house,independent,sector 17,3.0,11111.0,4,4,0,1.0,Old Property,3000.0,0,0,0,0,0,1,0,11111.0,"28.4791° N, 77.0608° E",28.4791,77.0608
flat,mapsko royale ville,sector 82,1.12,6256.0,3,3,2,12.0,Relatively New,1588.0,0,0,0,1,0,2,49,6257.0,"28.3935° N, 76.9600° E",28.3935,76.96
flat,dlf park place,sector 54,5.75,24688.0,3,4,3,12.0,Relatively New,2329.0,0,1,0,0,0,0,174,24689.0,"28.4348° N, 77.1089° E",28.4348,77.1089
house,independent,sector 7,95.0,21111.0,2,1,1,3.0,New Property,45000.0,0,0,0,0,0,1,15,21111.0,"28.4644° N, 77.0143° E",28.4644,77.0143
house,independent,sector 50,7.0,32407.0,3,2,0,1.0,Moderately Old,2160.0,0,0,0,0,0,1,0,32407.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,bestech park view city,sector 48,2.65,10323.0,4,4,3,11.0,Moderately Old,2134.0,1,1,0,0,0,2,174,10323.0,"28.4177° N, 77.0359° E",28.4177,77.0359
